iid,cid,invoice_date,total,bill_ctry
49,30,2009-08-06,1.98,Canada
50,32,2009-08-06,1.98,Canada
51,34,2009-08-07,3.96,Portugal
52,38,2009-08-08,5.94,Germany
53,44,2009-08-11,8.91,Finland
54,53,2009-08-16,13.86,UK
55,8,2009-08-24,0.99,Belgium
133,14,2010-08-13,1.98,Canada
134,16,2010-08-13,1.98,USA
135,18,2010-08-14,3.96,USA
136,22,2010-08-15,5.94,USA
137,28,2010-08-18,8.91,USA
138,37,2010-08-23,13.86,Germany
139,51,2010-08-31,0.99,Sweden
216,56,2011-08-07,0.99,Argentina
217,57,2011-08-20,1.98,Chile
218,59,2011-08-20,1.98,India
219,2,2011-08-21,3.96,Germany
220,6,2011-08-22,5.94,Czech Republic
221,12,2011-08-25,8.91,Brazil
222,21,2011-08-30,13.86,USA
299,26,2012-08-05,23.86,USA
300,40,2012-08-13,0.99,France
301,41,2012-08-26,1.98,France
302,43,2012-08-26,1.98,France
303,45,2012-08-27,3.96,Hungary
304,49,2012-08-28,5.94,Poland
305,55,2012-08-31,8.91,Australia
378,46,2013-08-02,1.98,Ireland
379,48,2013-08-02,1.98,Netherlands
380,50,2013-08-03,3.96,Spain
381,54,2013-08-04,5.94,UK
382,1,2013-08-07,8.91,Brazil
383,10,2013-08-12,13.86,Brazil
384,24,2013-08-20,0.99,USA
