beak_depth,year
8.4,1975
8.8,1975
8.4,1975
8.0,1975
7.9,1975
8.9,1975
8.6,1975
8.5,1975
8.9,1975
9.1,1975
8.6,1975
9.8,1975
8.2,1975
9.0,1975
9.7,1975
8.6,1975
8.2,1975
9.0,1975
8.4,1975
8.6,1975
8.9,1975
9.1,1975
8.3,1975
8.7,1975
9.6,1975
8.5,1975
9.1,1975
9.0,1975
9.2,1975
9.9,1975
8.6,1975
9.2,1975
8.4,1975
8.9,1975
8.5,1975
10.4,1975
9.6,1975
9.1,1975
9.3,1975
9.3,1975
8.8,1975
8.3,1975
8.8,1975
9.1,1975
10.1,1975
8.9,1975
9.2,1975
8.5,1975
10.2,1975
10.1,1975
9.2,1975
9.7,1975
9.1,1975
8.5,1975
8.2,1975
9.0,1975
9.3,1975
8.0,1975
9.1,1975
8.1,1975
8.3,1975
8.7,1975
8.8,1975
8.6,1975
8.7,1975
8.0,1975
8.8,1975
9.0,1975
9.1,1975
9.74,1975
9.1,1975
9.8,1975
10.4,1975
8.3,1975
9.44,1975
9.04,1975
9.0,1975
9.05,1975
9.65,1975
9.45,1975
8.65,1975
9.45,1975
9.45,1975
9.05,1975
8.75,1975
9.45,1975
8.35,1975
9.4,2012
8.9,2012
9.5,2012
11.0,2012
8.7,2012
8.4,2012
9.1,2012
8.7,2012
10.2,2012
9.6,2012
8.85,2012
8.8,2012
9.5,2012
9.2,2012
9.0,2012
9.8,2012
9.3,2012
9.0,2012
10.2,2012
7.7,2012
9.0,2012
9.5,2012
9.4,2012
8.0,2012
8.9,2012
9.4,2012
9.5,2012
8.0,2012
10.0,2012
8.95,2012
8.2,2012
8.8,2012
9.2,2012
9.4,2012
9.5,2012
8.1,2012
9.5,2012
8.4,2012
9.3,2012
9.3,2012
9.6,2012
9.2,2012
10.0,2012
8.9,2012
10.5,2012
8.9,2012
8.6,2012
8.8,2012
9.15,2012
9.5,2012
9.1,2012
10.2,2012
8.4,2012
10.0,2012
10.2,2012
9.3,2012
10.8,2012
8.3,2012
7.8,2012
9.8,2012
7.9,2012
8.9,2012
7.7,2012
8.9,2012
9.4,2012
9.4,2012
8.5,2012
8.5,2012
9.6,2012
10.2,2012
8.8,2012
9.5,2012
9.3,2012
9.0,2012
9.2,2012
8.7,2012
9.0,2012
9.1,2012
8.7,2012
9.4,2012
9.8,2012
8.6,2012
10.6,2012
9.0,2012
9.5,2012
8.1,2012
9.3,2012
9.6,2012
8.5,2012
8.2,2012
8.0,2012
9.5,2012
9.7,2012
9.9,2012
9.1,2012
9.5,2012
9.8,2012
8.4,2012
8.3,2012
9.6,2012
9.4,2012
10.0,2012
8.9,2012
9.1,2012
9.8,2012
9.3,2012
9.9,2012
8.9,2012
8.5,2012
10.6,2012
9.3,2012
8.9,2012
8.9,2012
9.7,2012
9.8,2012
10.5,2012
8.4,2012
10.0,2012
9.0,2012
8.7,2012
8.8,2012
8.4,2012
9.3,2012
9.8,2012
8.9,2012
9.8,2012
9.1,2012
