date,country,gdp,series_code
1990-01-01,Australia,158051.1324,NYGDPMKTPSAKD
1990-04-01,Australia,158263.5816,NYGDPMKTPSAKD
1990-07-01,Australia,157329.279,NYGDPMKTPSAKD
1990-09-01,Australia,158240.6781,NYGDPMKTPSAKD
1991-01-01,Australia,156195.9535,NYGDPMKTPSAKD
1991-04-01,Australia,155989.0327,NYGDPMKTPSAKD
1991-07-01,Australia,156635.8576,NYGDPMKTPSAKD
1991-09-01,Australia,156744.0566,NYGDPMKTPSAKD
1992-01-01,Australia,157916.0811,NYGDPMKTPSAKD
1992-04-01,Australia,159047.8271,NYGDPMKTPSAKD
1992-07-01,Australia,160658.176,NYGDPMKTPSAKD
1992-09-01,Australia,163960.2207,NYGDPMKTPSAKD
1993-01-01,Australia,165097.4951,NYGDPMKTPSAKD
1993-04-01,Australia,166027.059,NYGDPMKTPSAKD
1993-07-01,Australia,166203.1786,NYGDPMKTPSAKD
1993-09-01,Australia,169279.3479,NYGDPMKTPSAKD
1990-01-01,Sweden,79837.84599,NYGDPMKTPSAKD
1990-04-01,Sweden,80582.28597000001,NYGDPMKTPSAKD
1990-07-01,Sweden,79974.36017,NYGDPMKTPSAKD
1990-09-01,Sweden,80106.49738,NYGDPMKTPSAKD
1991-01-01,Sweden,79524.24192,NYGDPMKTPSAKD
1991-04-01,Sweden,79073.05901,NYGDPMKTPSAKD
1991-07-01,Sweden,79084.77036000001,NYGDPMKTPSAKD
1991-09-01,Sweden,79740.60625,NYGDPMKTPSAKD
1992-01-01,Sweden,79390.92175,NYGDPMKTPSAKD
1992-04-01,Sweden,79060.28297999999,NYGDPMKTPSAKD
1992-07-01,Sweden,78904.60477,NYGDPMKTPSAKD
1992-09-01,Sweden,76996.83684,NYGDPMKTPSAKD
1993-01-01,Sweden,75783.58777,NYGDPMKTPSAKD
1993-04-01,Sweden,76708.54823,NYGDPMKTPSAKD
1993-07-01,Sweden,77662.01816,NYGDPMKTPSAKD
1993-09-01,Sweden,77703.30364,NYGDPMKTPSAKD
