iid,cid,invoice_date,total,bill_ctry
56,9,2009-09-06,1.98,Denmark
57,11,2009-09-06,1.98,Brazil
58,13,2009-09-07,3.96,Brazil
59,17,2009-09-08,5.94,USA
60,23,2009-09-11,8.91,USA
61,32,2009-09-16,13.86,Canada
62,46,2009-09-24,0.99,Ireland
140,52,2010-09-13,1.98,UK
141,54,2010-09-13,1.98,UK
142,56,2010-09-14,3.96,Argentina
143,1,2010-09-15,5.94,Brazil
144,7,2010-09-18,8.91,Austria
145,16,2010-09-23,13.86,USA
223,35,2011-09-07,0.99,Portugal
224,36,2011-09-20,1.98,Germany
225,38,2011-09-20,1.98,Germany
226,40,2011-09-21,3.96,France
227,44,2011-09-22,5.94,Finland
228,50,2011-09-25,8.91,Spain
229,59,2011-09-30,13.86,India
306,5,2012-09-05,16.86,Czech Republic
307,19,2012-09-13,1.99,USA
308,20,2012-09-26,3.98,USA
309,22,2012-09-26,3.98,USA
310,24,2012-09-27,7.96,USA
311,28,2012-09-28,11.94,USA
385,25,2013-09-02,1.98,USA
386,27,2013-09-02,1.98,USA
387,29,2013-09-03,3.96,Canada
388,33,2013-09-04,5.94,Canada
389,39,2013-09-07,8.91,France
390,48,2013-09-12,13.86,Netherlands
391,3,2013-09-20,0.99,Canada
