duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes
12 minutes,81,Berry St at 4th St,323,Broadway at Kearny,5480,Subscriber,1959,Male,27.0
24 minutes,3,Powell St BART Station (Market St at 4th St),118,Eureka Valley Recreation Center,5193,Subscriber,1965,Male,26.0
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,3652,Subscriber,1993,Male,26.0
4 minutes,16,Steuart St at Market St,28,The Embarcadero at Bryant St,1883,Subscriber,1979,Male,29.0
11 minutes,22,Howard St at Beale St,350,8th St at Brannan St,4626,Subscriber,1994,Male,27.0
10 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,3279,Subscriber,1979,Male,26.0
16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),107,17th St at Dolores St,1035,Subscriber,1981,Male,29.0
9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),97,14th St at Mission St,5286,Subscriber,1991,Male,29.0
21 minutes,81,Berry St at 4th St,16,Steuart St at Market St,2124,Customer,1982,Female,26.0
5 minutes,30,San Francisco Caltrain (Townsend St at 4th St),62,Victoria Manalo Draves Park,333,Subscriber,1994,Male,26.0
19 minutes,81,Berry St at 4th St,16,Steuart St at Market St,1883,Customer,1983,Male,29.0
6 minutes,3,Powell St BART Station (Market St at 4th St),26,1st St at Folsom St,5331,Subscriber,1990,Male,26.0
7 minutes,3,Powell St BART Station (Market St at 4th St),27,Beale St at Harrison St,1863,Subscriber,1998,Male,26.0
187 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),355,23rd St at Tennessee St,674,Customer,1987,Female,27.0
13 minutes,21,Montgomery St BART Station (Market St at 2nd St),74,Laguna St at Hayes St,5487,Subscriber,1997,Male,27.0
4 minutes,3,Powell St BART Station (Market St at 4th St),321,5th St at Folsom,1606,Subscriber,1995,Male,26.0
32 minutes,22,Howard St at Beale St,122,19th St at Mission St,3661,Subscriber,1990,Male,26.0
5 minutes,22,Howard St at Beale St,11,Davis St at Jackson St,4969,Customer,1964,Male,27.0
16 minutes,16,Steuart St at Market St,42,San Francisco City Hall (Polk St at Grove St),5000,Subscriber,2000,Female,26.0
17 minutes,16,Steuart St at Market St,42,San Francisco City Hall (Polk St at Grove St),5230,Subscriber,2000,Male,29.0
16 minutes,16,Steuart St at Market St,58,Market St at 10th St,2033,Subscriber,1998,Male,26.0
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),364,China Basin St at 3rd St,5055,Subscriber,1986,Male,26.0
10 minutes,5,Powell St BART Station (Market St at 5th St),356,Valencia St at Clinton Park,2165,Subscriber,1982,Male,26.0
3 minutes,16,Steuart St at Market St,20,Mechanics Monument Plaza (Market St at Bush St),2403,Subscriber,1992,Male,26.0
11 minutes,3,Powell St BART Station (Market St at 4th St),109,17th St at Valencia St,4980,Customer,1980,Male,29.0
3 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,2409,Subscriber,1990,Female,29.0
12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),370,Jones St at Post St,2852,Subscriber,1994,Male,27.0
7 minutes,3,Powell St BART Station (Market St at 4th St),61,Howard St at 8th St,2459,Subscriber,1977,Male,27.0
5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5193,Subscriber,1990,Male,26.0
6 minutes,81,Berry St at 4th St,116,Mississippi St at 17th St,903,Subscriber,1990,Male,26.0
6 minutes,21,Montgomery St BART Station (Market St at 2nd St),323,Broadway at Kearny,5218,Subscriber,1988,Female,26.0
9 minutes,5,Powell St BART Station (Market St at 5th St),15,San Francisco Ferry Building (Harry Bridges Plaza),2177,Subscriber,1990,Male,27.0
12 minutes,3,Powell St BART Station (Market St at 4th St),102,Irwin St at 8th St,5130,Subscriber,1980,Male,27.0
16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),76,McCoppin St at Valencia St,3397,Subscriber,1979,Male,26.0
11 minutes,81,Berry St at 4th St,356,Valencia St at Clinton Park,5504,Subscriber,1994,Male,27.0
11 minutes,3,Powell St BART Station (Market St at 4th St),74,Laguna St at Hayes St,531,Customer,1988,Male,29.0
4 minutes,3,Powell St BART Station (Market St at 4th St),321,5th St at Folsom,3385,Subscriber,1990,Female,27.0
5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),50,2nd St at Townsend St,2568,Subscriber,1989,Male,27.0
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),343,Bryant St at 2nd St,2804,Subscriber,1966,Male,26.0
7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),130,22nd St Caltrain Station,5213,Subscriber,1986,Male,29.0
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),321,5th St at Folsom,1575,Subscriber,1988,Male,29.0
12 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,2899,Subscriber,1967,Female,26.0
3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),50,2nd St at Townsend St,1894,Subscriber,1977,Male,27.0
3 minutes,30,San Francisco Caltrain (Townsend St at 4th St),50,2nd St at Townsend St,2960,Subscriber,1977,Female,26.0
2 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),80,Townsend St at 5th St,2193,Subscriber,1996,Female,27.0
1 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),64,5th St at Brannan St,2436,Subscriber,1990,Female,27.0
7 minutes,5,Powell St BART Station (Market St at 5th St),41,Golden Gate Ave at Polk St,3617,Subscriber,1989,Male,26.0
