financial,company,year,value
total_revenue,twitter,2019,3459329
cost_of_revenue,twitter,2019,1137041
gross_profit,twitter,2019,2322288
operating_expenses,twitter,2019,1955915
net_income,twitter,2019,1465659
total_revenue,facebook,2019,70697000
cost_of_revenue,facebook,2019,12770000
gross_profit,facebook,2019,57927000
operating_expenses,facebook,2019,33941000
net_income,facebook,2019,18485000
total_revenue,snap,2019,1715534
cost_of_revenue,snap,2019,895838
gross_profit,snap,2019,819696
operating_expenses,snap,2019,1923024
net_income,snap,2019,-1033660
total_revenue,twitter,2018,3042359
cost_of_revenue,twitter,2018,964997
gross_profit,twitter,2018,2077362
operating_expenses,twitter,2018,1624037
net_income,twitter,2018,1205596
total_revenue,facebook,2018,55838000
cost_of_revenue,facebook,2018,9355000
gross_profit,facebook,2018,46483000
operating_expenses,facebook,2018,21570000
net_income,facebook,2018,22112000
total_revenue,snap,2018,1180446
cost_of_revenue,snap,2018,798865
gross_profit,snap,2018,381581
operating_expenses,snap,2018,1650031
net_income,snap,2018,-1255911
total_revenue,twitter,2017,2443299
cost_of_revenue,twitter,2017,861242
gross_profit,twitter,2017,1582057
operating_expenses,twitter,2017,1543317
net_income,twitter,2017,-108063
total_revenue,facebook,2017,40653000
cost_of_revenue,facebook,2017,5454000
gross_profit,facebook,2017,35199000
operating_expenses,facebook,2017,14996000
net_income,facebook,2017,15934000
total_revenue,snap,2017,824949
cost_of_revenue,snap,2017,717462
gross_profit,snap,2017,107487
operating_expenses,snap,2017,3593063
net_income,snap,2017,-3445066
total_revenue,twitter,2016,2529619
cost_of_revenue,twitter,2016,932240
gross_profit,twitter,2016,1597379
operating_expenses,twitter,2016,1964587
net_income,twitter,2016,-456873
total_revenue,facebook,2016,27638000
cost_of_revenue,facebook,2016,3789000
gross_profit,facebook,2016,23849000
operating_expenses,facebook,2016,11422000
net_income,facebook,2016,10217000
total_revenue,snap,2016,404482
cost_of_revenue,snap,2016,451660
gross_profit,snap,2016,-47178
operating_expenses,snap,2016,473207
net_income,snap,2016,-514643
